epoch,loss
0,0.013522117754755423
1,0.0029241623381844072
2,0.0018700490461140147
3,0.0017072569132847424
4,0.001503327378408449
5,0.001415469737216299
6,0.0014041362932205466
7,0.0013034613287178996
8,0.0012990789508712712
9,0.0012948736976349132
10,0.0012212322956944304
11,0.001230464187847689
12,0.001146284465276526
13,0.0011068817353739465
14,0.0011029395558592083
15,0.0010899798823648843
16,0.001052919867511905
17,0.0010583946042100943
18,0.0010452211906188552
19,0.0010212454261074094
20,0.0010102840481972023
21,0.0009945477472015957
22,0.0009953721043030389
23,0.0009703802758438371
24,0.000966657800079177
25,0.0009631660206143773
26,0.0009465924675864691
27,0.0009355733998276813
28,0.0009487039219388796
29,0.0009267198850553199
